debate_number,debate_id,title,label,motion,side,speaker,opponent,score,opponent_score,cohort,margin,generation_adjusted_score
100,jones-dillahunty-emergent-mind-god-2020,Michael Jones vs Matt Dillahunty: Reason to Believe in God?,Emergent mind and evidential burden,"Do digital physics, cosmic consciousness, and introspective idealism provide good reasons to believe in a necessary immaterial mind, or do those arguments fail demonstrability, probability, and burden-of-proof standards?",con,Matt Dillahunty,Michael Jones,91,73,closed,18,90.5085248234426
101,woodford-scrivener-religion-poisons-everything-2026,Stephen Woodford vs Glen Scrivener: Does Religion Poison Everything?,Religion poison and Christian humanism,"Does religion poison everything by adding doctrine, dogma, revelation, and moral harm to human decency, or does Christianity supply the sacred ideals and institutions that made modern compassion possible?",pro,Stephen Woodford,Glen Scrivener,83,80,closed,3,82.5085248234426
101,woodford-scrivener-religion-poisons-everything-2026,Stephen Woodford vs Glen Scrivener: Does Religion Poison Everything?,Religion poison and Christian humanism,"Does religion poison everything by adding doctrine, dogma, revelation, and moral harm to human decency, or does Christianity supply the sacred ideals and institutions that made modern compassion possible?",con,Glen Scrivener,Stephen Woodford,80,83,closed,-3,79.5085248234426
102,woodford-brierley-christianity-rational-2019,Stephen Woodford vs Justin Brierley: Is Christianity Rational?,Christian rationality and evidence,"Is Christianity rational, and do its claims about God, morality, reason, and resurrection meet proportionate evidential standards?",pro,Stephen Woodford,Justin Brierley,82,77,closed,5,81.5085248234426
102,woodford-brierley-christianity-rational-2019,Stephen Woodford vs Justin Brierley: Is Christianity Rational?,Christian rationality and evidence,"Is Christianity rational, and do its claims about God, morality, reason, and resurrection meet proportionate evidential standards?",con,Justin Brierley,Stephen Woodford,77,82,closed,-5,76.5085248234426
103,woodford-edwards-rational-belief-god-2023,Stephen Woodford vs Simon Edwards: Is It Rational to Believe in God?,Rational theism and gratuitous evil,"Is belief in an all-powerful, all-loving God rational given alleged gratuitous evil, salvation confusion, rationality, design, and morality?",pro,Stephen Woodford,Simon Edwards,82,78,closed,4,81.5085248234426
103,woodford-edwards-rational-belief-god-2023,Stephen Woodford vs Simon Edwards: Is It Rational to Believe in God?,Rational theism and gratuitous evil,"Is belief in an all-powerful, all-loving God rational given alleged gratuitous evil, salvation confusion, rationality, design, and morality?",con,Simon Edwards,Stephen Woodford,78,82,closed,-4,77.5085248234426
104,oconnor-baker-hytch-argument-from-reason-2020,Alex O'Connor vs Max Baker-Hytch: The Argument for God From Reason,"Reason, intentionality, and naturalism",Does rationality undermine naturalism and make a theistic or otherwise non-naturalist account of mind more probable?,pro,Max Baker-Hytch,Alex O'Connor,84,82,closed,2,83.5085248234426
104,oconnor-baker-hytch-argument-from-reason-2020,Alex O'Connor vs Max Baker-Hytch: The Argument for God From Reason,"Reason, intentionality, and naturalism",Does rationality undermine naturalism and make a theistic or otherwise non-naturalist account of mind more probable?,con,Alex O'Connor,Max Baker-Hytch,82,84,closed,-2,81.5085248234426
106,peterson-blackmore-god-meaning-life-2018,Jordan Peterson vs Susan Blackmore: Do We Need God to Make Sense of Life?,"God, archetypes, and memes","Do humans need God, religious stories, or religiously inherited values to make sense of life, meaning, morality, suffering, and action?",pro,Jordan Peterson,Susan Blackmore,74,85,closed,-11,73.5085248234426
106,peterson-blackmore-god-meaning-life-2018,Jordan Peterson vs Susan Blackmore: Do We Need God to Make Sense of Life?,"God, archetypes, and memes","Do humans need God, religious stories, or religiously inherited values to make sense of life, meaning, morality, suffering, and action?",con,Susan Blackmore,Jordan Peterson,85,74,closed,11,84.5085248234426
107,lennox-ruse-science-faith-evidence-god-2018,"John Lennox vs Michael Ruse: Science, Faith, and the Evidence for God","Science, faith, and divine evidence","Do science, mathematics, miracle claims, moral experience, and the problem of evil support an evidence-based Christian faith or a more cautious agnostic naturalism?",pro,John Lennox,Michael Ruse,79,85,closed,-6,78.5085248234426
107,lennox-ruse-science-faith-evidence-god-2018,"John Lennox vs Michael Ruse: Science, Faith, and the Evidence for God","Science, faith, and divine evidence","Do science, mathematics, miracle claims, moral experience, and the problem of evil support an evidence-based Christian faith or a more cautious agnostic naturalism?",con,Michael Ruse,John Lennox,85,79,closed,6,84.5085248234426
108,ward-ruse-mind-consciousness-god-2013,"Keith Ward vs Michael Ruse: Mind, Consciousness, and God","Mind, consciousness, and God","Does human consciousness, religious and moral experience, and free agency make best sense within a God-centered mind-first reality, or can agnostic naturalism absorb those mysteries without theism?",pro,Keith Ward,Michael Ruse,80,82,closed,-2,79.5085248234426
108,ward-ruse-mind-consciousness-god-2013,"Keith Ward vs Michael Ruse: Mind, Consciousness, and God","Mind, consciousness, and God","Does human consciousness, religious and moral experience, and free agency make best sense within a God-centered mind-first reality, or can agnostic naturalism absorb those mysteries without theism?",con,Michael Ruse,Keith Ward,82,80,closed,2,81.5085248234426
109,mclatchie-oconnor-theism-naturalism-reality-2022,Jonathan McLatchie vs Alex O'Connor: Theism or Naturalism?,"Theism, naturalism, and reality","Theism or naturalism: which provides a better account of reality, including biological information, resurrection testimony, divine hiddenness, religious geography, and suffering?",pro,Jonathan McLatchie,Alex O'Connor,74,83,closed,-9,73.5085248234426
109,mclatchie-oconnor-theism-naturalism-reality-2022,Jonathan McLatchie vs Alex O'Connor: Theism or Naturalism?,"Theism, naturalism, and reality","Theism or naturalism: which provides a better account of reality, including biological information, resurrection testimony, divine hiddenness, religious geography, and suffering?",con,Alex O'Connor,Jonathan McLatchie,83,74,closed,9,82.5085248234426
110,tour-garte-evolution-agency-christian-faith-2025,"James Tour vs Sy Garte: Evolution, Agency, and Christian Faith","Evolution, agency, and Christian faith","Can Christian faith be reconciled with evolutionary theory by emphasizing agency, cognition, and natural genetic engineering, or do unresolved mechanisms in origins, body plans, fossils, and human uniqueness make evolutionary confidence overreach?",pro,James Tour,Sy Garte,79,80,closed,-1,78.5085248234426
110,tour-garte-evolution-agency-christian-faith-2025,"James Tour vs Sy Garte: Evolution, Agency, and Christian Faith","Evolution, agency, and Christian faith","Can Christian faith be reconciled with evolutionary theory by emphasizing agency, cognition, and natural genetic engineering, or do unresolved mechanisms in origins, body plans, fossils, and human uniqueness make evolutionary confidence overreach?",con,Sy Garte,James Tour,80,79,closed,1,79.5085248234426
111,tour-farina-origin-life-cluelessness-2023,Dave Farina vs James Tour: Are We Clueless About the Origin of Life?,Origin of life cluelessness,"Are scientists currently clueless about the origin of life, or do prebiotic chemistry, ribozyme research, and systems chemistry already provide viable pathways toward abiogenesis?",pro,James Tour,Dave Farina,80,79,closed,1,79.5085248234426
111,tour-farina-origin-life-cluelessness-2023,Dave Farina vs James Tour: Are We Clueless About the Origin of Life?,Origin of life cluelessness,"Are scientists currently clueless about the origin of life, or do prebiotic chemistry, ribozyme research, and systems chemistry already provide viable pathways toward abiogenesis?",con,Dave Farina,James Tour,79,80,closed,-1,78.5085248234426
112,copan-woodford-belief-god-reasonable-2024,Paul Copan vs Stephen Woodford: Is Belief in God Reasonable?,Reasonable belief in God,"Is belief in God reasonable, given cosmology, fine-tuning, consciousness, rationality, morality, evil, religious history, and the record of scientific explanation?",pro,Paul Copan,Stephen Woodford,78,81,closed,-3,77.5085248234426
112,copan-woodford-belief-god-reasonable-2024,Paul Copan vs Stephen Woodford: Is Belief in God Reasonable?,Reasonable belief in God,"Is belief in God reasonable, given cosmology, fine-tuning, consciousness, rationality, morality, evil, religious history, and the record of scientific explanation?",con,Stephen Woodford,Paul Copan,81,78,closed,3,80.5085248234426
113,dirckx-woodford-god-suffering-2024,Sharon Dirckx vs Stephen Woodford: Why Doesn't God Stop Suffering?,God and suffering,"Does the reality of suffering make belief in an all-powerful, all-loving God unreasonable, or does the Christian framework of a broken world, divine presence, justice, and future healing make better sense of it?",pro,Sharon Dirckx,Stephen Woodford,79,80,closed,-1,78.5085248234426
113,dirckx-woodford-god-suffering-2024,Sharon Dirckx vs Stephen Woodford: Why Doesn't God Stop Suffering?,God and suffering,"Does the reality of suffering make belief in an all-powerful, all-loving God unreasonable, or does the Christian framework of a broken world, divine presence, justice, and future healing make better sense of it?",con,Stephen Woodford,Sharon Dirckx,80,79,closed,1,79.5085248234426
114,dirckx-goff-consciousness-points-god-2019,Sharon Dirckx vs Philip Goff: Does Consciousness Point to God?,Consciousness pointing to God,"Does consciousness point beyond materialism to God, or can a non-theistic panpsychist framework explain conscious experience without adding theism?",pro,Sharon Dirckx,Philip Goff,79,81,closed,-2,78.5085248234426
114,dirckx-goff-consciousness-points-god-2019,Sharon Dirckx vs Philip Goff: Does Consciousness Point to God?,Consciousness pointing to God,"Does consciousness point beyond materialism to God, or can a non-theistic panpsychist framework explain conscious experience without adding theism?",con,Philip Goff,Sharon Dirckx,81,79,closed,2,80.5085248234426
116,bertuzzi-schieber-evil-evidence-2019,Cameron Bertuzzi vs Justin Schieber: The Problem of Evil,Evil as evidence,"Do facts about pain, pleasure, languishing, and horrendous evil count as evidence for naturalism over theism, or can soul-building and skeptical theism neutralize that evidential force?",pro,Cameron Bertuzzi,Justin Schieber,78,87,closed,-9,77.5085248234426
116,bertuzzi-schieber-evil-evidence-2019,Cameron Bertuzzi vs Justin Schieber: The Problem of Evil,Evil as evidence,"Do facts about pain, pleasure, languishing, and horrendous evil count as evidence for naturalism over theism, or can soul-building and skeptical theism neutralize that evidential force?",con,Justin Schieber,Cameron Bertuzzi,87,78,closed,9,86.5085248234426
117,bertuzzi-oconnor-contingency-argument-2018,Alex O'Connor vs Cameron Bertuzzi: Something From Nothing?,Contingency and nothingness,"Does the contingency argument show that contingent reality requires a necessary foundation identifiable as God, or can determinism, composition worries, and a necessary-universe option block the inference?",pro,Cameron Bertuzzi,Alex O'Connor,81,87,closed,-6,80.5085248234426
117,bertuzzi-oconnor-contingency-argument-2018,Alex O'Connor vs Cameron Bertuzzi: Something From Nothing?,Contingency and nothingness,"Does the contingency argument show that contingent reality requires a necessary foundation identifiable as God, or can determinism, composition worries, and a necessary-universe option block the inference?",con,Alex O'Connor,Cameron Bertuzzi,87,81,closed,6,86.5085248234426
118,hernandez-schieber-god-existence-2023,Eric Hernandez vs Justin Schieber: Does God Exist?,"Evil, mind, and hiddenness","Does theism or atheistic naturalism better explain evil, objective morality, knowledge, rationality, consciousness, free will, animal suffering, cosmic hostility, and non-resistant nonbelief?",pro,Eric Hernandez,Justin Schieber,74,85,closed,-11,73.5085248234426
118,hernandez-schieber-god-existence-2023,Eric Hernandez vs Justin Schieber: Does God Exist?,"Evil, mind, and hiddenness","Does theism or atheistic naturalism better explain evil, objective morality, knowledge, rationality, consciousness, free will, animal suffering, cosmic hostility, and non-resistant nonbelief?",con,Justin Schieber,Eric Hernandez,85,74,closed,11,84.5085248234426
119,jones-oconnor-hell-2023,Michael Jones vs Alex O'Connor: Does God Send People to Hell?,"Hell, self-exile, and grace","Can the Christian doctrine of hell be morally justified as self-chosen exile, sanctifying grace, and possible annihilation rather than external torture?",pro,Michael Jones,Alex O'Connor,80,87,closed,-7,79.5085248234426
119,jones-oconnor-hell-2023,Michael Jones vs Alex O'Connor: Does God Send People to Hell?,"Hell, self-exile, and grace","Can the Christian doctrine of hell be morally justified as self-chosen exile, sanctifying grace, and possible annihilation rather than external torture?",con,Alex O'Connor,Michael Jones,87,80,closed,7,86.5085248234426
120,mclatchie-oconnor-christianity-true-2019,Jonathan McLatchie vs Alex O'Connor: Is Christianity True?,Resurrection and biblical morality,"Is Christianity true, especially in light of resurrection evidence, Gospel reliability, and the moral authority of biblical teaching?",pro,Jonathan McLatchie,Alex O'Connor,83,83,closed,0,82.5085248234426
120,mclatchie-oconnor-christianity-true-2019,Jonathan McLatchie vs Alex O'Connor: Is Christianity True?,Resurrection and biblical morality,"Is Christianity true, especially in light of resurrection evidence, Gospel reliability, and the moral authority of biblical teaching?",con,Alex O'Connor,Jonathan McLatchie,83,83,closed,0,82.5085248234426
121,dawkins-lennox-science-buried-god-2017,Richard Dawkins vs John Lennox: Has Science Buried God?,"Science, miracles, and God","Has science buried God, or can Christian theism still explain rationality, design, miracles, morality, and fine-tuning?",pro,John Lennox,Richard Dawkins,76,82,closed,-6,75.5085248234426
121,dawkins-lennox-science-buried-god-2017,Richard Dawkins vs John Lennox: Has Science Buried God?,"Science, miracles, and God","Has science buried God, or can Christian theism still explain rationality, design, miracles, morality, and fine-tuning?",con,Richard Dawkins,John Lennox,82,76,closed,6,81.5085248234426
122,horn-oconnor-god-existence-2020,Trent Horn vs Alex O'Connor: Does God Exist?,"God, contingency, and evil","Does God exist, and do contingency, sufficient reason, moral realism, evil, animal suffering, and quantum randomness support or undermine theism?",pro,Trent Horn,Alex O'Connor,77,83,closed,-6,76.5085248234426
122,horn-oconnor-god-existence-2020,Trent Horn vs Alex O'Connor: Does God Exist?,"God, contingency, and evil","Does God exist, and do contingency, sufficient reason, moral realism, evil, animal suffering, and quantum randomness support or undermine theism?",con,Alex O'Connor,Trent Horn,83,77,closed,6,82.5085248234426
123,oconnor-pine-divine-hiddenness-2024,Gregory Pine vs Alex O'Connor: The Divine Hiddenness Problem,Divine hiddenness and seeking,"Does divine hiddenness, uneven religious geography, sincere nonbelief, hell, and original sin count against Catholic theism, or can grace, providence, and creaturely agency explain them?",pro,Gregory Pine,Alex O'Connor,74,87,closed,-13,73.5085248234426
123,oconnor-pine-divine-hiddenness-2024,Gregory Pine vs Alex O'Connor: The Divine Hiddenness Problem,Divine hiddenness and seeking,"Does divine hiddenness, uneven religious geography, sincere nonbelief, hell, and original sin count against Catholic theism, or can grace, providence, and creaturely agency explain them?",con,Alex O'Connor,Gregory Pine,87,74,closed,13,86.5085248234426
124,harris-peterson-god-atheism-bible-2018,"Sam Harris vs Jordan Peterson: God, Atheism, The Bible, Jesus","Religion, myth, and moral truth","Can religious stories, God-language, and biblical tradition ground moral truth and meaning, or should moral realism, well-being, and open inquiry replace dogmatic religious frameworks?",pro,Jordan Peterson,Sam Harris,78,84,closed,-6,77.5085248234426
124,harris-peterson-god-atheism-bible-2018,"Sam Harris vs Jordan Peterson: God, Atheism, The Bible, Jesus","Religion, myth, and moral truth","Can religious stories, God-language, and biblical tradition ground moral truth and meaning, or should moral realism, well-being, and open inquiry replace dogmatic religious frameworks?",con,Sam Harris,Jordan Peterson,84,78,closed,6,83.5085248234426
126,craig-clifton-kalam-cosmological-argument-2021,William Lane Craig vs Scott Clifton: The Kalam Cosmological Argument,Kalam cosmological argument,"Does the Kalam causal premise justify a transcendent cause of the universe, or is ordinary causation too bound to space, time, and material conditions to support that inference?",pro,William Lane Craig,Scott Clifton,82,88,closed,-6,81.5085248234426
126,craig-clifton-kalam-cosmological-argument-2021,William Lane Craig vs Scott Clifton: The Kalam Cosmological Argument,Kalam cosmological argument,"Does the Kalam causal premise justify a transcendent cause of the universe, or is ordinary causation too bound to space, time, and material conditions to support that inference?",con,Scott Clifton,William Lane Craig,88,82,closed,6,87.5085248234426
127,slick-clifton-objective-morality-god-2014,Matt Slick vs Scott Clifton: Does Objective Morality Require God?,Objective morality and theistic foundations,"Does objective morality require God as its necessary foundation, or can secular moral reasoning explain the relevant moral truths and obligations?",pro,Matt Slick,Scott Clifton,70,89,closed,-19,69.5085248234426
127,slick-clifton-objective-morality-god-2014,Matt Slick vs Scott Clifton: Does Objective Morality Require God?,Objective morality and theistic foundations,"Does objective morality require God as its necessary foundation, or can secular moral reasoning explain the relevant moral truths and obligations?",con,Scott Clifton,Matt Slick,89,70,closed,19,88.5085248234426
128,craig-law-evil-god-challenge-2011,William Lane Craig vs Stephen Law: Does God Exist?,Evil God challenge and theism,"Does God exist, and do Craig's cumulative arguments overcome Law's evidential problem of evil and evil-God symmetry challenge?",pro,William Lane Craig,Stephen Law,76,88,closed,-12,75.5085248234426
128,craig-law-evil-god-challenge-2011,William Lane Craig vs Stephen Law: Does God Exist?,Evil God challenge and theism,"Does God exist, and do Craig's cumulative arguments overcome Law's evidential problem of evil and evil-God symmetry challenge?",con,Stephen Law,William Lane Craig,88,76,closed,12,87.5085248234426
129,plantinga-law-eaan-rational-belief-2010,Alvin Plantinga vs Stephen Law: Is the EAAN Successful?,Evolutionary argument and rational belief,Is the evolutionary argument against naturalism successful at showing that naturalism plus evolution gives its believers a defeater for trusting their cognitive faculties?,pro,Alvin Plantinga,Stephen Law,81,81,closed,0,80.5085248234426
129,plantinga-law-eaan-rational-belief-2010,Alvin Plantinga vs Stephen Law: Is the EAAN Successful?,Evolutionary argument and rational belief,Is the evolutionary argument against naturalism successful at showing that naturalism plus evolution gives its believers a defeater for trusting their cognitive faculties?,con,Stephen Law,Alvin Plantinga,81,81,closed,0,80.5085248234426
130,licona-carrier-resurrection-history-2010,Mike Licona vs Richard Carrier: Did Jesus Rise From the Dead?,Resurrection evidence and natural explanations,"Did Jesus rise from the dead, and does the resurrection hypothesis better explain early Christian testimony than naturalistic alternatives?",pro,Michael Licona,Richard Carrier,80,83,closed,-3,79.5085248234426
130,licona-carrier-resurrection-history-2010,Mike Licona vs Richard Carrier: Did Jesus Rise From the Dead?,Resurrection evidence and natural explanations,"Did Jesus rise from the dead, and does the resurrection hypothesis better explain early Christian testimony than naturalistic alternatives?",con,Richard Carrier,Michael Licona,83,80,closed,3,82.5085248234426
131,boyce-carrier-historical-jesus-mythicism-2022,Stephen Boyce vs Richard Carrier: Did Jesus Exist?,Historical Jesus and mythicism,"Did Jesus exist as a historical person, or did early Christian belief begin with a celestial or mythic Christ later placed in history?",pro,Stephen Boyce,Richard Carrier,78,83,closed,-5,77.5085248234426
131,boyce-carrier-historical-jesus-mythicism-2022,Stephen Boyce vs Richard Carrier: Did Jesus Exist?,Historical Jesus and mythicism,"Did Jesus exist as a historical person, or did early Christian belief begin with a celestial or mythic Christ later placed in history?",con,Richard Carrier,Stephen Boyce,83,78,closed,5,82.5085248234426
132,mclatchie-carrier-paul-celestial-jesus-2018,Jonathan McLatchie vs Richard Carrier: Did Paul Believe in a Celestial Jesus?,Paul and celestial Jesus mythicism,"Did Paul understand Jesus as an earthly historical person, or as a celestial figure whose death and resurrection occurred in a mythic heavenly realm?",pro,Jonathan McLatchie,Richard Carrier,80,83,closed,-3,79.5085248234426
132,mclatchie-carrier-paul-celestial-jesus-2018,Jonathan McLatchie vs Richard Carrier: Did Paul Believe in a Celestial Jesus?,Paul and celestial Jesus mythicism,"Did Paul understand Jesus as an earthly historical person, or as a celestial figure whose death and resurrection occurred in a mythic heavenly realm?",con,Richard Carrier,Jonathan McLatchie,83,80,closed,3,82.5085248234426
133,hawkins-folley-free-will-idealism-2026,"Nathan Hawkins vs Joe Folley: Free Will, Compatibilism, and Idealism","Free will, agency, and idealism",Can libertarian free will and Bradleyan idealism answer determinist and naturalist pressure better than compatibilist pragmatism?,pro,Nathan Hawkins,Joe Folley,77,85,closed,-8,76.5085248234426
133,hawkins-folley-free-will-idealism-2026,"Nathan Hawkins vs Joe Folley: Free Will, Compatibilism, and Idealism","Free will, agency, and idealism",Can libertarian free will and Bradleyan idealism answer determinist and naturalist pressure better than compatibilist pragmatism?,con,Joe Folley,Nathan Hawkins,85,77,closed,8,84.5085248234426
134,macdonald-carrier-jesus-mythicism-mimesis-2025,Dennis R. MacDonald vs Richard Carrier: Did Jesus Exist?,"Historical Jesus, mythicism, and mimesis","Did Jesus exist as a historical Jewish teacher later mythologized, or did early Christianity begin with a revelatory Christ only later placed in history?",pro,Dennis R. MacDonald,Richard Carrier,79,81,closed,-2,78.5085248234426
134,macdonald-carrier-jesus-mythicism-mimesis-2025,Dennis R. MacDonald vs Richard Carrier: Did Jesus Exist?,"Historical Jesus, mythicism, and mimesis","Did Jesus exist as a historical Jewish teacher later mythologized, or did early Christianity begin with a revelatory Christ only later placed in history?",con,Richard Carrier,Dennis R. MacDonald,81,79,closed,2,80.5085248234426
135,ehrman-price-historical-jesus-mythicism-2016,Bart Ehrman vs Robert Price: Did Jesus Exist?,"Historical Jesus, mythicism, and textual evidence","Did a first-century Jewish preacher named Jesus exist behind the Christian traditions, or did Christianity develop from mythic and scriptural materials without such a person?",pro,Bart Ehrman,Robert Price,86,81,closed,5,85.5085248234426
135,ehrman-price-historical-jesus-mythicism-2016,Bart Ehrman vs Robert Price: Did Jesus Exist?,"Historical Jesus, mythicism, and textual evidence","Did a first-century Jewish preacher named Jesus exist behind the Christian traditions, or did Christianity develop from mythic and scriptural materials without such a person?",con,Robert Price,Bart Ehrman,81,86,closed,-5,80.5085248234426
136,douthat-ehrman-resurrection-gospel-history-2026,Ross Douthat vs Bart Ehrman: Did Jesus Rise From the Dead?,"Resurrection, Gospel testimony, and belief","How much historical confidence should readers place in the Gospels and resurrection accounts: reliable witness traces or later traditions shaped by memory, theology, and debate?",pro,Ross Douthat,Bart Ehrman,84,86,closed,-2,83.5085248234426
136,douthat-ehrman-resurrection-gospel-history-2026,Ross Douthat vs Bart Ehrman: Did Jesus Rise From the Dead?,"Resurrection, Gospel testimony, and belief","How much historical confidence should readers place in the Gospels and resurrection accounts: reliable witness traces or later traditions shaped by memory, theology, and debate?",con,Bart Ehrman,Ross Douthat,86,84,closed,2,85.5085248234426
137,price-craig-resurrection-historical-analogy-1999,Robert Price vs William Lane Craig: Did Jesus Rise From the Dead?,"Resurrection, historical analogy, and evidence","Do the earliest Christian sources establish burial, an empty tomb, appearances, and resurrection belief such that God raising Jesus best explains the evidence?",pro,William Lane Craig,Robert Price,83,80,closed,3,82.5085248234426
137,price-craig-resurrection-historical-analogy-1999,Robert Price vs William Lane Craig: Did Jesus Rise From the Dead?,"Resurrection, historical analogy, and evidence","Do the earliest Christian sources establish burial, an empty tomb, appearances, and resurrection belief such that God raising Jesus best explains the evidence?",con,Robert Price,William Lane Craig,80,83,closed,-3,79.5085248234426
138,albrecht-price-bodily-resurrection-2022,William Albrecht vs Robert Price: Did Jesus Bodily Rise from the Dead?,"Bodily resurrection, ancient parallels, and testimony","Did Jesus Christ bodily rise from the dead, as early Christian sources claim?",pro,William Albrecht,Robert Price,78,80,closed,-2,77.5085248234426
138,albrecht-price-bodily-resurrection-2022,William Albrecht vs Robert Price: Did Jesus Bodily Rise from the Dead?,"Bodily resurrection, ancient parallels, and testimony","Did Jesus Christ bodily rise from the dead, as early Christian sources claim?",con,Robert Price,William Albrecht,80,78,closed,2,79.5085248234426
139,adelstein-dillahunty-belief-god-2025,Matthew Adelstein vs Matt Dillahunty: Should We Believe in God?,"Theism, fine-tuning, and anthropic evidence","Should we believe in an all-knowing, all-powerful, morally perfect being?",pro,Matthew Adelstein,Matt Dillahunty,81,89,closed,-8,80.5085248234426
139,adelstein-dillahunty-belief-god-2025,Matthew Adelstein vs Matt Dillahunty: Should We Believe in God?,"Theism, fine-tuning, and anthropic evidence","Should we believe in an all-knowing, all-powerful, morally perfect being?",con,Matt Dillahunty,Matthew Adelstein,89,81,closed,8,88.5085248234426
140,rhodes-dillahunty-evidence-god-2021,Kenny Rhodes vs Matt Dillahunty: Is There Evidence for God?,"Classical theism, essence, and evidence",Is there good evidence for the existence of the God of classical theism?,pro,Kenny Rhodes,Matt Dillahunty,70,88,closed,-18,69.5085248234426
140,rhodes-dillahunty-evidence-god-2021,Kenny Rhodes vs Matt Dillahunty: Is There Evidence for God?,"Classical theism, essence, and evidence",Is there good evidence for the existence of the God of classical theism?,con,Matt Dillahunty,Kenny Rhodes,88,70,closed,18,87.5085248234426
141,fischer-dillahunty-axiomatic-evidence-god-2020,Ben Fischer vs Matt Dillahunty: Is There Good Evidence for God?,Axiomatic first cause and evidence,"Is there good evidence for God, rather than merely an asserted epistemic starting point?",pro,Ben Fischer,Matt Dillahunty,68,86,closed,-18,67.5085248234426
141,fischer-dillahunty-axiomatic-evidence-god-2020,Ben Fischer vs Matt Dillahunty: Is There Good Evidence for God?,Axiomatic first cause and evidence,"Is there good evidence for God, rather than merely an asserted epistemic starting point?",con,Matt Dillahunty,Ben Fischer,86,68,closed,18,85.5085248234426
142,comfort-dillahunty-gospel-atonement-2020,Ray Comfort vs Matt Dillahunty: Does the Gospel Make Sense?,Gospel atonement and moral responsibility,"Does the Christian gospel's account of sin, atonement, and salvation make moral and explanatory sense?",pro,Ray Comfort,Matt Dillahunty,68,86,closed,-18,67.5085248234426
142,comfort-dillahunty-gospel-atonement-2020,Ray Comfort vs Matt Dillahunty: Does the Gospel Make Sense?,Gospel atonement and moral responsibility,"Does the Christian gospel's account of sin, atonement, and salvation make moral and explanatory sense?",con,Matt Dillahunty,Ray Comfort,86,68,closed,18,85.5085248234426
143,vela-dillahunty-transcendental-evidence-god-2020,Tyler Vela vs Matt Dillahunty: Is There Good Evidence for God?,Transcendental logic and divine evidence,Do laws of logic and other transcendental facts provide good evidence for a necessary personal God?,pro,Tyler Vela,Matt Dillahunty,76,84,closed,-8,75.5085248234426
143,vela-dillahunty-transcendental-evidence-god-2020,Tyler Vela vs Matt Dillahunty: Is There Good Evidence for God?,Transcendental logic and divine evidence,Do laws of logic and other transcendental facts provide good evidence for a necessary personal God?,con,Matt Dillahunty,Tyler Vela,84,76,closed,8,83.5085248234426
144,plantinga-dennett-evolution-naturalism-2018,"Alvin Plantinga vs Daniel Dennett: Science, Religion, and Evolution","Evolution, naturalism, and divine design","Are evolutionary science and theistic religion compatible, and does naturalism plus evolution undercut trust in human cognition?",pro,Alvin Plantinga,Daniel Dennett,83,84,closed,-1,82.5085248234426
144,plantinga-dennett-evolution-naturalism-2018,"Alvin Plantinga vs Daniel Dennett: Science, Religion, and Evolution","Evolution, naturalism, and divine design","Are evolutionary science and theistic religion compatible, and does naturalism plus evolution undercut trust in human cognition?",con,Daniel Dennett,Alvin Plantinga,84,83,closed,1,83.5085248234426
145,dennett-dsouza-god-human-invention-2007,Daniel Dennett vs Dinesh D'Souza: Is God a Human Invention?,"Religion, naturalism, and divine explanation","Is God a human invention, or do cosmological fine-tuning, morality, consciousness, and religious experience provide rational support for a real divine creator?",pro,Daniel Dennett,Dinesh D'Souza,80,75,closed,5,79.5085248234426
145,dennett-dsouza-god-human-invention-2007,Daniel Dennett vs Dinesh D'Souza: Is God a Human Invention?,"Religion, naturalism, and divine explanation","Is God a human invention, or do cosmological fine-tuning, morality, consciousness, and religious experience provide rational support for a real divine creator?",con,Dinesh D'Souza,Daniel Dennett,75,80,closed,-5,74.5085248234426
146,harris-dennett-free-will-2018,Sam Harris vs Daniel Dennett: Does Free Will Exist?,"Determinism, agency, and responsibility","Does determinism or indeterminism undermine free will and moral responsibility, or can reasons-responsive agency provide a compatibilist form of freedom worth preserving?",pro,Sam Harris,Daniel Dennett,82,88,closed,-6,81.5085248234426
146,harris-dennett-free-will-2018,Sam Harris vs Daniel Dennett: Does Free Will Exist?,"Determinism, agency, and responsibility","Does determinism or indeterminism undermine free will and moral responsibility, or can reasons-responsive agency provide a compatibilist form of freedom worth preserving?",con,Daniel Dennett,Sam Harris,88,82,closed,6,87.5085248234426
147,dennett-clayton-naturalism-ultimate-reality-2012,Daniel Dennett vs Philip Clayton: Naturalism and Ultimate Reality,"Naturalism, mind, and ultimate reality","Does naturalism fully explain mind, intentionality, morality, and reality, or does a religious account of ultimate reality offer an additional explanatory framework?",pro,Daniel Dennett,Philip Clayton,85,82,closed,3,84.5085248234426
147,dennett-clayton-naturalism-ultimate-reality-2012,Daniel Dennett vs Philip Clayton: Naturalism and Ultimate Reality,"Naturalism, mind, and ultimate reality","Does naturalism fully explain mind, intentionality, morality, and reality, or does a religious account of ultimate reality offer an additional explanatory framework?",con,Philip Clayton,Daniel Dennett,82,85,closed,-3,81.5085248234426
148,baggett-dillahunty-moral-argument-2018,David Baggett vs Matt Dillahunty: The Moral Argument for God,"Moral authority, God, and secular ethics","Do objective moral facts, moral knowledge, moral transformation, and moral rationality make theism a better explanation than secular ethical theories?",pro,David Baggett,Matt Dillahunty,85,86,closed,-1,84.5085248234426
